0u,0
0.001u,0
30u,0
30.001u,0
60u,0
60.001u,0
90u,0
90.001u,0
120u,0
120.001u,0
150u,0
150.001u,0
180u,0
180.001u,0
210u,0
210.001u,-1
240u,-1
240.001u,0
270u,0
270.001u,1
300u,1
300.001u,1
330u,1
330.001u,0
360u,0
360.001u,0
390u,0
390.001u,900m
420u,900m
420.001u,0
450u,0
450.001u,0
480u,0
480.001u,0
510u,0
510.001u,0
540u,0
540.001u,0
570u,0
570.001u,0
600u,0
600.001u,0
630u,0
630.001u,0
660u,0
660.001u,0
690u,0
690.001u,900m
720u,900m
720.001u,900m
750u,900m
750.001u,0
780u,0
780.001u,-1
810u,-1
810.001u,1
840u,1
840.001u,0
870u,0
