0u,0
0.001u,-1
30u,-1
30.001u,0
60u,0
60.001u,1
90u,1
90.001u,1
120u,1
120.001u,0
150u,0
150.001u,0
180u,0
180.001u,0
210u,0
210.001u,0
240u,0
240.001u,900m
270u,900m
270.001u,0
300u,0
300.001u,900m
330u,900m
330.001u,0
360u,0
360.001u,0
390u,0
390.001u,0
420u,0
420.001u,0
450u,0
450.001u,-1
480u,-1
480.001u,1
510u,1
510.001u,0
540u,0
540.001u,1
570u,1
570.001u,0
600u,0
600.001u,900m
630u,900m
630.001u,0
660u,0
660.001u,0
690u,0
690.001u,0
720u,0
720.001u,0
750u,0
750.001u,0
780u,0
780.001u,0
810u,0
810.001u,0
840u,0
840.001u,0
870u,0
