time a b c w1 w2
0.0 0.0 0.0 0.0 0.0 0.0
0.00014062499775757686 1.0 1.0 1.0 1.4063906124282356e-21 1.4063906124282356e-21
0.00028124999551515373 1.0 1.0 1.0 -5.556890503299883e-09 -5.556890503299883e-09
0.0005624999910303075 1.0 1.0 1.0 -2.3201756960133935e-08 -2.3201756960133935e-08
0.001 1.0 1.0 1.0 -3.338110587947085e-08 -3.338110587947085e-08
29.999999999999996 1.0 1.0 1.0 -3.338087140036805e-08 -3.338087140036805e-08
30.000099999999996 1.0 1.0 1.0 -3.336173293178035e-08 -3.336173293178035e-08
30.0003 1.0 1.0 1.0 -3.334283604772281e-08 -3.334283604772281e-08
30.0007 1.0 1.0 1.0 -3.333245501835336e-08 -3.333245501835336e-08
30.001 1.0 1.0 1.0 -3.332801057354118e-08 -3.332801057354118e-08
59.99999999999999 1.0 1.0 1.0 -3.332801057354118e-08 -3.332801057354118e-08
60.000099999999996 1.0 1.0 1.0 -3.332801057354118e-08 -3.332801057354118e-08
60.000299999999996 1.0 1.0 1.0 -3.332801057354118e-08 -3.332801057354118e-08
60.000699999999995 1.0 1.0 0.9999999403953552 -3.332801057354118e-08 -3.332801057354118e-08
60.001000000000005 1.0 1.0 0.9999997615814209 -3.332801057354118e-08 -3.332801057354118e-08
60.00156000000001 1.0 1.0 0.9999990463256836 -3.332801057354118e-08 -3.332801057354118e-08
60.003480000000025 1.0 1.0 0.9999966025352478 -3.332801057354118e-08 -3.332801057354118e-08
60.00604000000004 1.0 1.0 0.9999932646751404 -3.332801057354118e-08 -3.332801057354118e-08
60.01116000000009 1.0 1.0 0.9999866485595703 -3.332801057354118e-08 -3.332801057354118e-08
60.021400000000185 1.0 1.0 0.9999733567237854 -3.332801057354118e-08 -3.332801057354118e-08
60.04188000000037 1.0 1.0 0.9999463558197021 -3.332801057354118e-08 -3.332801057354118e-08
60.082840000000736 1.0 1.0 0.9998916983604431 -3.332801057354118e-08 -3.332801057354118e-08
60.16476000000147 1.0 1.0 0.999779462814331 -3.332801057354118e-08 -3.332801057354118e-08
60.328600000002936 1.0 1.0 0.9995490908622742 -3.332801057354118e-08 -3.332801057354118e-08
60.369560000003304 1.0 1.0 0.9994904398918152 -3.332801057354118e-08 -3.332801057354118e-08
60.37980000000339 1.0 1.0 0.9994754791259766 -3.332801057354118e-08 -3.332801057354118e-08
60.441240000003944 1.0 1.0 0.9993839263916016 -3.332801057354118e-08 -3.332801057354118e-08
60.52316000000468 1.0 1.0 0.9992578625679016 -3.332801057354118e-08 -3.332801057354118e-08
60.68700000000615 1.0 1.0 0.9989917874336243 -3.332801057354118e-08 -3.332801057354118e-08
61.014680000009086 1.0 1.0 0.998427152633667 -3.332801057354118e-08 -3.332801057354118e-08
61.09660000000983 1.0 1.0 0.9982746243476868 -3.332801057354118e-08 -3.332801057354118e-08
61.2604400000113 1.0 1.0 0.9979513883590698 -3.332801057354118e-08 -3.332801057354118e-08
61.30140000001167 1.0 1.0 0.9978684782981873 -3.332801057354118e-08 -3.332801057354118e-08
61.337240000011995 1.0 1.0 0.9977936744689941 -3.332801057354118e-08 -3.332801057354118e-08
61.367960000012275 1.0 1.0 0.9977282881736755 -3.332801057354118e-08 -3.332801057354118e-08
61.40892000001265 1.0 1.0 0.9976397752761841 -3.332801057354118e-08 -3.332801057354118e-08
61.49084000001338 1.0 1.0 0.9974583387374878 -3.332801057354118e-08 -3.332801057354118e-08
61.65468000001485 1.0 1.0 0.9970844388008118 -3.332801057354118e-08 -3.332801057354118e-08
61.695640000015224 1.0 1.0 0.996986985206604 -3.332801057354118e-08 -3.332801057354118e-08
61.726360000015504 1.0 1.0 0.9969114661216736 -3.332801057354118e-08 -3.332801057354118e-08
61.76732000001587 1.0 1.0 0.9968085289001465 -3.332801057354118e-08 -3.332801057354118e-08
61.8492400000166 1.0 1.0 0.9965950846672058 -3.332801057354118e-08 -3.332801057354118e-08
62.135960000019175 1.0 1.0 0.9957988262176514 -3.332801057354118e-08 -3.332801057354118e-08
62.274200000020414 1.0 1.0 0.9953729510307312 -3.332801057354118e-08 -3.332801057354118e-08
62.412440000021675 1.0 1.0 0.994913637638092 -3.332801057354118e-08 -3.332801057354118e-08
62.49692000002242 1.0 1.0 0.9946215152740479 -3.332801057354118e-08 -3.332801057354118e-08
62.51228000002256 1.0 1.0 0.9945669770240784 -3.332801057354118e-08 -3.332801057354118e-08
62.53276000002274 1.0 1.0 0.9944937229156494 -3.332801057354118e-08 -3.332801057354118e-08
62.53468000002275 1.0 1.0 0.9944866895675659 -3.332801057354118e-08 -3.332801057354118e-08
62.53724000002277 1.0 1.0 0.994477391242981 -3.332801057354118e-08 -3.332801057354118e-08
62.55260000002291 1.0 1.0 0.9944213032722473 -3.332801057354118e-08 -3.332801057354118e-08
62.61404000002347 1.0 1.0 0.9941911697387695 -3.332801057354118e-08 -3.332801057354118e-08
62.85980000002567 1.0 1.0 0.9932021498680115 -3.332801057354118e-08 -3.332801057354118e-08
62.90076000002605 1.0 1.0 0.9930282235145569 -3.332801057354118e-08 -3.332801057354118e-08
62.931480000026326 1.0 1.0 0.9928911328315735 -3.332801057354118e-08 -3.332801057354118e-08
63.05436000002742 1.0 1.0 0.9923136234283447 -3.332801057354118e-08 -3.332801057354118e-08
63.34108000003 1.0 1.0 0.9908084869384766 -3.332801057354118e-08 -3.332801057354118e-08
63.510040000031516 1.0 1.0 0.9898087978363037 -3.332801057354118e-08 -3.332801057354118e-08
