time a b c w1 w2 w3
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.00014062499775757686 1.4063906124282356e-21 1.4063906124282356e-21 1.4063906124282356e-21 1.4063906124282356e-21 1.4063906124282356e-21 1.4063906124282356e-21
0.00028124999551515373 2.8127812248564712e-21 2.8127812248564712e-21 2.8127812248564712e-21 -5.556735072076435e-09 -5.556735072076435e-09 -5.556735072076435e-09
0.0005624999910303075 5.6255624497129424e-21 5.6255624497129424e-21 5.6255624497129424e-21 -2.3200245280463605e-08 -2.3200245280463605e-08 -2.3200245280463605e-08
0.001 1.0000999731091105e-20 1.0000999731091105e-20 1.0000999731091105e-20 -3.3375762598097936e-08 -3.3375762598097936e-08 -3.3375762598097936e-08
29.999999999999996 3.000300019364487e-16 3.000300019364487e-16 3.000300019364487e-16 -3.3375528118995135e-08 -3.3375528118995135e-08 -3.3375528118995135e-08
30.000099999999996 3.0003100778807355e-16 3.0003100778807355e-16 3.0003100778807355e-16 -3.3358141138251085e-08 -3.3365431306719984e-08 -3.3365431306719984e-08
30.0003 3.0003299302154367e-16 3.0003299302154367e-16 3.0003299302154367e-16 -3.3341319038981965e-08 -3.335119558300903e-08 -3.335119558300903e-08
30.0007 3.0003698995826353e-16 3.0003698995826353e-16 3.0003698995826353e-16 -3.33326823920288e-08 -3.333448717057763e-08 -3.333448717057763e-08
30.000822963461655 1.0366483671475635e-08 3.000382340379048e-16 3.000382340379048e-16 -3.067841092274648e-08 -3.333202513999822e-08 -3.333202513999822e-08
30.000893956535894 5.602809949323273e-08 3.0003894872195405e-16 3.0003894872195405e-16 2.7063569163487955e-08 -3.333173026476288e-08 -3.333173026476288e-08
30.0009296916943 1.24498640730053e-07 3.000392928290889e-16 3.000392928290889e-16 5.763083166243632e-08 -3.333173026476288e-08 -3.333173026476288e-08
30.000951772953467 2.012335755807726e-07 3.000395310571053e-16 3.000395310571053e-16 3.783359758813276e-08 -3.333173026476288e-08 -3.333173026476288e-08
30.000964849405815 2.831122003499331e-07 3.000396369362237e-16 3.000396369362237e-16 1.8406845470053668e-07 -3.333173026476288e-08 -3.333173026476288e-08
30.000975194472712 3.9268243767764943e-07 3.000397428153421e-16 3.000397428153421e-16 6.120740181358997e-07 -3.333173026476288e-08 -3.333173026476288e-08
30.0009866975911 5.62294644623762e-07 3.000398751642401e-16 3.000398751642401e-16 1.4316468650577008e-06 -3.333173026476288e-08 -3.333173026476288e-08
30.000999955560182 7.946739515318768e-07 3.000400075131381e-16 3.000400075131381e-16 2.632467840157915e-06 -3.333173026476288e-08 -3.333173026476288e-08
30.001 7.955500791467784e-07 3.000400075131381e-16 3.000400075131381e-16 2.6371958483650815e-06 -3.333173026476288e-08 -3.333173026476288e-08
